,Название фильма,Дата начала показа фильма,Аннотация,Вид Фильма,Категория,Цвет,"Продолжительность демонстрации, часы","Продолжительность демонстрации, минуты",Формат носителя,Студия-производитель,Страна производства,Год производства,Режиссер,Художник,Сценарист,Оператор,Композитор,Продюсер,Возрастная категория
122447,"Машкины Страшилки. Серия ""Чудовищная правда о том, как страшно быть маленьким""",2017-06-09,Детский сериал,Анимационный,Кино,Цветной,0,6.0,Другой,"ООО Студия ""АНИМАККОРД"" - АНИМАККОРД ЛТД.","Россия, Республика Кипр",2017,Д.Червяцов,И.Трусов,И.Шаров,,А.Друбич,"Д.Ловейко, О.Кузовков",0+
122448,"Машкины Страшилки. Серия ""Чудовищная правда о том, как страшно быть маленьким""",2016-04-25,Детский сериал,Анимационный,Кино,Цветной,0,6.0,Другой,"ООО Студия ""АНИМАККОРД"" - АНИМАККОРД ЛТД.","Россия, Республика Кипр",2017,Д.Червяцов,,И.Шаров,И.Трусов,А.Друбич,"Д.Ловейко, О.Кузовков",0+
123422,Анна Каренина. История Вронского,2016-12-29,"В ролях - Е.Боярская, М.Матвеев, В.Кищенко, К.Гребенщиков  Драма по роману Л.Н.Толстого ""Анна Карелина, публицистической повести  В. Вересаева ""На японской войне и циклу ""Рассказы о японской войне""",,Кино,Цветной,2,138.0,Другой,"ФГУП ""Киноконцерн ""Мосфильм""",Россия,2017,К.Шахназаров,"С.Февралев, Ю.Макушина","А.Бузин, К.Шахназаров",А.Кузнецов,Ю.Потеенко," К.Шахназаров, А.Златопольский",12+
123443,МУЛЬТ в кино. Выпуск № 50,2017-03-21,Мультсборник,Анимационный,Кино,Цветной,0,47.0,Другой,"ООО ""Мульт в кино""",Россия,2017,О.Семёнова,,Гизатуллин В.Р.,,"С.Боголюбский, Д.Ставрович",П.Смирнов,0+
123452,"Анимационный сериал ""Котяткины истории-2""",2017-04-03,Анимационный детский сериал,Анимационный,Кино,Цветной,0,30.0,Другой,"ООО ""Студия ""Мастер-Фильм""",Россия,2017,Д.Наумов,О.Добровольский,Д.Наумов,,Р.Нурмухаметова (Р.Нур),А.Герасимов,0+
123485,Невеста .,2016-10-25,"Ужасы, мистика",,Кино,Цветной,1,95.0,Другой,"ООО ""Форс Медиа""",Россия,2017,С.Подгаевский,А.Фатина,"С.Подгаевский, В.Северцев",И.Бурлаков,Й.Хансен,"В.Северцев, Д.Литвинов, З.Болотаев",16+
123496,Лекарство от здоровья,2017-02-01,"В ролях: Джейсон Айзекс, Дэйн ДеХаан. Оздоровительный центр в швейцарских Альпах.",,Кино,Цветной,2,147.0,Другой,"Ридженси Энтерпрайзис, Нью Ридженси Продакшнз, Блинд Винк Продакшнз, Студио Бабелсберг, Тэ Эс Гэ Интертейнмент",США - Германия,2017,Гор Вербински,Ив Стюарт,"Гор Вербински, Джастин Хэйс",Боян Бацелли,Бенджамин Уоллфисч,"Гор Вербински, Дэвид Крокетт, Арнон Милчан",18+
123497,Босс-Молокосос,2017-02-09,Фантазер.,Анимационный,Кино,Цветной,1,98.0,Другой,ДримУоркс Анимейшн,США,2017,Том МакГрат,,"Майкл МакКаллерс, Марла Фрэйзи",,Ханс Циммер,Рэмси Энн Наито,6+
123500,Живое,2017-03-20,"В ролях: ДЖейк Джилленхолл, Райан Рейнольдс. Жизнь на Марсе. ",,Кино,Цветной,1,110.0,Другой,"Коламбиа Пикчерз, Скайдэнс Медиа, Сони Пикчерз Интертейнмент",США,2017,Даниэль Эспиноса,Найджел Фелпс,"Пол Верник, Рэтт Риз",Шимус МакГарви,Джон Экстренд,"Дана Голдберг, Бонни Кертис, Джули Линн, Дэвид Эллисон",18+
123501,Смурфики: Затерянная деревня,2017-03-20,"В ролях: Ариэль Винтер, Элли Кемпер. Волшебный мир.",,Кино,Цветной,1,93.0,Другой,"Коламбиа Пикчерз, Кернер Интертейнмент Компани, Эл Стар Кэпитал, Сони Пикчерз Анимейшн, Ванда Пикчерз",США,2017,Келли Эсбери,Ноэль Триоро,"Памела Рибон, Стейси Харман",,Кристофер Леннерц,"Мэри Эллен Бодер, Джордан Кернер",6+
123510,Голова. Два уха,2017-05-18,"В ролях - И.Лашин, Т.Лашина, Г.Кокоткин, А.Махлина    Трагикомедия",,Кино,Цветной,1,78.0,Другой,Суслин Виталий Игоревич,Россия,2017,В.Суслин,,"В.Суслин, И.Лашин",А.Малинкович,,,16+
123511,Искупление (2017),2017-05-18,"В ролях - Х.Мустафоев, Т.Заурбекова                         Драма",,Кино,Цветной,,,Другой,Абидова Аниса Сабировна,"Россия, Таджикистан",2017,А.Абидова (псевдоним Аниса Сабири),Т.Муминова,А.Абидова (псевдоним Аниса Сабири),П.Шарифов,,В.Хинензон,12+
123516,Весь этот мир,2017-06-01,"В ролях: Ник Робинсон, Аманда Стенберг. Экранизация.",,Кино,Цветной,1,96.0,Другой,"Итака Филмз, Эллой Интертейнмент, Метро Голдвин Майер, Уорнер Бразерс",США,2017,Стелла Меги,Эйвери Пльюис,Дж.Миллс Гудло,Игор Жадю-Лилло,Людвиг Горанссон,"Элиза Даттон, Лесли Моргенстейн",12+
123533,Осколки,2017-06-07,"В ролях: Ной Хантли, Крис Битем. Драма. Рутина похожих дней",,Кино,Цветной,1,74.0,Другой,"Хайп Филм, Иль Капо Филмз",США,2017,Алиса Хазанова,Катя Щеглова,"Майкл Грегори Куписк, Алиса Хазанова",Федор Лясс,Игорь Вдовин,"Клаудио Белланте, Роман Волобуев, Илья Стюарт, Алиса Хазанова",18+
123534,Песенки для котят Три котёнка,2017-06-16,Мультик на основе английикх детских песенок.,Анимационный,Кино,Цветной,0,29.0,Другой,"ООО ""кинокомпания ""МАСТЕР-ФИЛЬМ""",Россия,2017,"Е.Живайкина, А.Костогарова",О.Добровольский,,,,А.Герасимов,0+
123547,Время первых (2017),2017-02-21,"Фильм-катастрофа. Байопик о космонавте Алексее Леонове, совершившем первый в истории космонавтики выход в открытый космос. В ролях: Е.Миронов, К.Хабенский",,Кино,Цветной,2,142.0,Другой,"ООО ""ТаББаК"", ООО ""Студия Третий Рим""",Россия,2017,Д.Киселев,А.Терехова,"Д.Пинчуков, Ю.Коротков, И.Пивоварова, С.Калужанов, О.Погодин",В.Башта,Ю.Потеенко,"Т.Бекмамбетов, Е.Миронов",6+
123560,Рок,2017-05-05,"Трагикомедия о трех провинциальных музыкантах, отправившихся в Москву по приглашению выступить на радио. В ролях: И.Ивашкин, К.Фролов, Д.Чеботарев, Н.Тарасов, В.Кищенко, Е.Стычкин и др.",,Кино,Цветной,1,87.0,Другой,"ООО ""ВГИК-ДЕБЮТ""",Россия,2017,И.Шахназаров,Н.Васенина,"И.Шахназаров, И.Заваруев",Е.Мусин,Ю.Потеенко,"В.Малышев, Ф.Попов",16+
123566,Выстрел в пустоту,2017-07-13,"В ролях: Джон Бернтал, Николай Костер-Вальдау, Лэйк Белл. Бандитские сферы влияния. ",,Кино,Цветной,2,120.0,Другой,"Болд Филмз, Партисепэнт Медиа, Релативити Студиоз",США,2017,Рик Роман Во,Гай Барнс,Рик Роман Во,Дана Гонсалес,Антонио Пинто,"Джонатан Кинг, Мишель Литвак, Гари Майкл Уотерс",18+
123620,Звонки,2017-02-01,"В ролях: Винсент Д'Офрио, Джонни Галэки. Таинственная видекассета.",,Кино,Цветной,1,102.0,Другой,"Макари/Эдельштейн, Паркес + МакДональд Имэйдж Нэйшн, Вертиго Интертейнмент, Вэддиэйшн Клейртрэп, Коламбиа Пикчерз",США,2017,Ф.Хавьер Гутьеррес,Кевин Кэвэно,"Джейкоб Аарон Эстес, Акива Голдсман, Дэвид Лука, Кодзи Судзуки",Шэрон Мейр,Мэттью Марджесон,"Лори МакДональд, Уолтер Ф.Паркс",18+
123625,МУЛЬТ в кино. Выпуск № 48,2017-03-01,Мультсборник,Анимационный,Кино,Цветной,,,Другой,"ООО ""Мульт в кино""",Россия,2017,О.Семёнова,,Гизатуллин В.Р.,,"С.Боголюбский, Л.Ставрович",П.Смирнов,0+
123669,Собачья жизнь (2017),2017-02-20,"В ролях: Деннис Куэйд, Бритт Робертсон. Экранизация.",,Кино,Цветной,1,100.0,Другой,"Эмблин Интертейнмент, Пэрайа Интертейнмент, Релианс Интертейнмент, Уолден Медиа",США,2017,Лассе Халльстрём,Майкл Карлин,"У. Брюс Кэмерон, Кэтрин Мишон",Терри Стэйси,Рэйчел Портман,"Гэвин Полон, Даррен Риган, Марк Суриан",6+
123670,Матрица времени,2017-02-20,"В ролях: Зои Дойч, Холстон Сейдж. Проклятый день.",,Кино,Цветной,1,100.0,Другой,"Осемнесс Филмз, Джон Шестек Продакшнз",США,2017,Ри Руссо-Янг,Пол Джоял,Мария Мадженти,Майкл Фимоньяри,Адам Тейлор,"Марк Бьенсток, Мэттью Каплан, Брайан Роббинс",16+
123686,Конг: Остров черепа,2017-02-21,"В ролях: Том Хиддлстон, Джон Гудман. Приключения.",,Кино,Цветной,1,118.0,Другой,"Уорнер Бразерс, Леджендари Пикчерз",США - Вьетнам,2017,Джордан Вогг-Робертс,Мэри Вогт,"Макс Боренстейн, Джон Гэйтинс",Ларри Фонг,Генри Джекман,"Джон Джашни, Томас Тулл",16+
123747,Послесвадебный разгром,2017-03-20,"В ролях: Крис Маршалл, Райан Корр. Похождения бедовых друзей-англичан.",,Кино,Цветной,1,92.0,Другой,Гореан Филмз,Австралия,2017,Марк Лампрелл,Эмма Флетчер,Дин Крэйг,Стив Арнольд,Дэвид Хиршфелдер,"Лоуренс Малкин, Шеа Сталлингс, Таня Чэмберс",18+
123748,Голос из камня,2017-05-10,"В ролях: Эмилия Кларк, Мартон Чокаш. Экранизация.",,Кино,Цветной,1,90.0,Другой,"Занук Индепендент, Коуд 39 Филмз, Продюсер Кэпитал Фанд",США - Италия,2017,Эрик Д.Хауэлл,Анна Ломбарди,Эндрю Шоу,Питер Саймонит,Михаэль Вандмахер,"Стефано Галлини-Дуранте, Дин Занук",18+
123752,Не ждали.,2017-06-27,Мелодрама,,Кино,Цветной,1,114.0,Другой,"ЗАО ""Кинокомпания ФаворитФильм""",Россия,2017,В.Мережко,А.Суворов,В.Мережко,И.Багаев,Д.Смирнов,"А.Чижиков, С.Куликов, Н.Чижикова",16+
123764,Крым (2017),2017-04-12,"В ролях - Р.Курцын, Е.Лапова, П.Крайнов, П.Трубинер, Б.Щербаков, Е.Котельникова, Г.Яковлев, А.Комашко, Н.Зверев, И.Буяновер и др.                     Драма, боевик",,Кино,Цветной,1,100.0,Другой,"ООО ""Пиманов и партнеры""",Россия,2017,А.Пиманов,М.Мартьянова,"А.Пиманов, В.Брагин",В.Климов,О.Воляндо,А.Пиманов,16+
123767,Зубы накаливания,2017-04-12,"В ролях - Золототрубова Е., Паньков Р., Панкратов В., Минин Е.                                             Драма, триллер, мистика, ужасы",,Кино,Цветной,,,Другой,Золототрубов Дмитрий Александрович,Россия,2017,Д.Золототрубов,Д.Золототрубов,Д.Золототрубов,Д.Золототрубов,Д.Золототрубов,Д.Золототрубов,16+
123776,Однажды в Германии,2017-05-02,"В ролях: Мориц Бляйбтрой, Ганс Лёв. Американская мечта.",,Кино,Цветной,1,101.0,Другой,"Самса  Филм, Ай Джи Си Филм, Мэтч Фэктори, Антр Шьен э Лу, Цвейте Дойче Фернштейн, Центр дю Синема э де лаудивизуэль де ля Федерасьон Валони Брюсель",Германия - Люксембург - Бельгия,2017,Сэм Гарбарски,"Артур Депре, Вероника Сакре","Майкл Бергманн, Сэм Гарбарски",Вирджини Сен-Мартен,Рено Гарсиа Фонс,"Себастьен Деллуа, Рошанак Берешт Неджад, Джани Тилтгес",16+
123779,Трио в перьях,2017-04-21,Приключения воробья.,Анимационный,Кино,Цветной,1,84.0,Другой,"Надсен и Стрюбер Медиенмануфактур, Улисс Фильмпродакшн, Уолкинг Зе Дог, Мелюсин Продакшнз, Ден Сист Скиллинг",Германия - Бельгия - Люксембург - Норвегия,2017,"Тоби Генкель, Реза Мемари",Стефан Лекок,Реза Мемари,,Эрик Невё,Кристин Надсен,6+
123780,Одарённая,2017-04-27,"В ролях: Крис Эванс, Дженни Слейт. Дядя и племянница.  ",,Кино,Цветной,1,102.0,Другой,"ХХ век Фокс, Фокс Сёрчлайт Пикчерз",США,2017,Марк Уэбб,Лаура Фокс,Том Флинн,Стюарт Драйбёрг,Роб Симонсен,"Энди Коэн, Карен Ландер",12+
123781,Чужой: Завет,2017-04-27,"В ролях: Майкл Фассбендер, Джеймс Франко. Новый фильм франшизы.",,Кино,Цветной,2,123.0,Другой,"ХХ век Фокс, Брэндивайн Продакшнз, Скотт Фри Продакшнз, Тэ Эс Гэ Продакшнз",США - Австралия - Новая Зеландия - Великобритания,2017,Ридли Скотт,Крис Сигерс,"Джон Логан, Джек Паглен, Данте Харпер",Дариуш Вольски,Джед Курзель,"Ридли Скотт, Марк Хаффам, Майкл Шефер",18+
123796,Яна + Янко,2017-01-20,Семейная мелодрама,,Кино,Цветной,1,95.0,Другой,"ООО ""Магнум-фильм""",Россия,2017,Н.Меркулова,У.Рябова,"Н.Меркулова, А.Чупов, Е.Бирг",О.Кириченко,"А.Шварц, К.Шарафутдинов, Д.Чижевский",А.Семенов,12+
123797,Логан: Росомаха,2017-02-01,"В ролях: Хью Джекман, Патрик Стюарт. Смерть злодеям.",,Кино,Цветной,2,135.0,Другой,"Доннерс Компани, Марвел Интертейнмент, Тэ Эс Гэ Интертейнмент, ХХ век Фокс",США,2017,Джеймс Мэнголд,Франсуа Одуи,"Майкл Грин, Джеймс Мэнголд, Скотт Фрэнк",Джон Мэтисон,Марко Белтрами,"Саймон Кинберг, Хатч Паркер, Лорен Шулер Доннер",18+
123802,Любовь и Сакс,2017-02-16,Ироничная мелодрама,,Кино,Цветной,1,106.0,Другой,"ООО ""ДжемСтудия""",Россия,2017,А.Сурикова,К.Мельников,А.Сурикова,Г.Беленький,,А.Голутва,12+
123809,Бабич,2017-04-13,"В ролях - И.Тагиров, Р.Сальманов                              Исторический, драма, поэтикал",,Кино,Черно-белый,1,97.0,Другой,"ООО ""Живая Лента""",Россия,2017,Б.Юсупов,Р.Баймухаметов,"Т.Бабичева, Г.Саламатова",Д.Гайткулов,Р.Сагитов,"Б.Юсупов, Л.Филинов",6+
123813,Орбита 9,2017-06-05,"Научная фантастика  о космосе. В ролях: Клара Лаго, Алекс Гонзалес.",,Кино,Цветной,1,95.0,Другой,"Кактус Флауэр, Динамо, Моно Фильм, Телефоника Студиос",Испания-Колумбия,2017,Хатем Храиче,"Иниго Наварро, Мария Фернанда Муньос, Сайоа Лара, Мария Андреа Рангель",Хатем Храиче,Пау Эстеве Бирба,Федерико Хусид,"Кристиан Конти, Мигель Менендес де Зубиллага",16+
123816,Трансформеры: Последний рыцарь,2017-06-16,"В ролях: Марк Уолберг, сэр Энтони Хопкинс, Стэнли Туччи. ",,Кино,Цветной,2,149.0,Другой,"Ди Бонавентура Пикчерз, Ха��бро, Уауа Медиа, Йен Брайс Продакшнз, Парамаунт Пикчерз, Том ДэСанто / Дон Мёрфи Продакшнз ",США,2017,Майкл Бэй,Джеффри Бикрофт,"Артур Маркам, Кен Нолан, Мэтт Холлоуэй",Джонатан Села,Стив Яблонски,"Лоренцо Ди Бонавентура, Йен Брайс, Дон Мерфи, Том ДеСанто",12+
123820,ТЕСНОТА,2017-05-23,Драма,,Кино,Цветной,1,118.0,DCP,"Некоммерческий фонд поддержки кинематографа ""Примеринтонации (Фонд Александра Сокурова)""",Россия,2017,К.Балагов,А.Падерин,"А.Ярыгин (псевдоним А.Яруш), К.Балагов",А.Емельянов,,Н.Янкин,18+
123849,Одноклассницы: Новый поворот,2017-01-27,"Комедия. Даша находит судьбу в лице банковского работника. Но все не бывает гладко... В ролях: С.Ходченкова, Е.Вилкова, В.Мазунина",,Кино,Цветной,1,76.0,Другой,"ООО ""КиноФирма""",Россия,2017,Д.Суворов,П.Гаврилова,В.Ровенский,Ю.Никогосов,,"К.Елкин, В.Ровенский, М.Рогальский, А.Руже",16+
123881,Безумные соседи,2017-06-29,"В ролях: Кристиан Клавье, Ари Абиттан. Буржуазные ценности.",,Кино,Цветной,1,92.0,Другой,"Камера Уан, Уй Продюксьон, Пульсар Продюксьон, Эс Эн Дэ Фильм, Нексус Фэктори, Умедиа, Эм 6 Фильм, Канал +, Сине +, УФонд, Ля Валони ",Франция - Бельгия,2017,Филипп де Шоврон,,"Гай Лоран, Марк де Шоврон",Филипп Жильбер,Эрве Ракотофиринга,"Кристиан Клавье, Патрис Леду",16+
123919,Форсаж 8,2017-04-03,"В ролях: Вин Дизель, Шарлиз Терон. Гонка продолжается.",,Кино,Цветной,2,138.0,Другой,"Итака Филмз, Уан Рейс Филмз, Ориджинал Фильм",США,2017,Ф.Гэри Грей,Билл Брзески,"Крис Морган, Гэри Скотт Томпсон",Стивен Ф.Уиндон,Брайан Тайлер,"Вин Дизель, Нил Х.Мориц, Майкл Фоттрел",12+
123971,Уйти красиво,2017-03-23,"В ролях: Морган Фриман, Алан Аркин. Комедия о старости.",,Кино,Цветной,1,96.0,Другой,"Уорнер Бразерс, Нью Лайн Синема, Де Лайн Пикчерз, Метро Голдвин Майер, Виллидж Роадшоу Пикчерз",США,2017,Зак Брафф,Энн Джонс,Теодор Мелфи,Родни Чартерс,Роб Симонсен,"Дональд Де Лайн, Тони Билл, Джонатан МакКой",18+
123975,Частное пионерское - 3,2017-04-07,"В ролях - С.Трескунов, А.Вистингаузен, Е.Клинаев, О.Блинов, М.Иванов, Д.Руденок, М.Лисовая и др.              Подрасковая комедия, приключения",,Кино,Цветной,1,99.0,Другой,"ООО ""Кинопрограмма  ""XXI век""",Россия,2017,А.Карпиловский,У.Рябова,"О.Сироткин, А.Максименко при участии А.Карпиловского",М.Милашин,"М.Кошеваров, С.Зыков","В.Есинов, Ю.Рязанов",12+
123984,Нелюбовь,2017-05-19,"В ролях - М.Спивак, А.Розин, М.Новиков, А.Фатеев, М.Васильева, А.Кейш, Н.Потапова, С.Борисов          Драма",,Кино,Цветной,2,127.0,Другой,"ООО ""Нон-Стоп Продакшн"", ООО ""Фетисов Иллюзион"", Компания ""Уай нот продакшнс"" (WHY NOT PRODUCTIONS), Компания ""Сенатор филм продакшн ГМБХ"" (SENATOR FILM PRODUKTION GMBH), Компания ""Ле фильм дю флёв"" (LES FILMS DU FLEUVE)","Россия, Франция, Германия, Бельгия",2017,А.Звягинцев,А.Понкратов,"О.Негин, А.Звягинцев",М.Кричман R.G.C.,"Е.Гальперин, А.Гальперин","А.Роднянский, С.Мелькумов, Г.Фетисов",18+
123987,Как Витька Чеснок вёз Лёху штыря в дом инвалидов,2017-06-30,"В ролях - Е.Ткачук, А.Серебряков Драма",,Кино,Цветной,1,90.0,Другой,"ООО ""Продюсерский центр ""ВГИК - Дебют""",Россия,2017,А.Хант,А.Давыдова,А.Бородачёв,Д.Фомичёв,,"В.Мадышев, Ф.Попов",18+
123991,Чудо-женщина,2017-05-22,"В ролях: Крис Пайн, Галь Гадот, Робин Райт. Остановить угрозу.",,Кино,Цветной,2,141.0,Другой,"Атлас Интертейнмент, Круэль энд Унусуаль Филмз, Ди Си Интертейнмент, Дане Интертейнмент, Тенсент Пикчерз, Ванда Пикчерз, Уорнер Бразерс",США,2017,Пэтти Дженкинс,Алин Бонетто,Аллан Хайнберг,Мэттью Дженсен,Руперт Грегсон-Уильямс,"Джефф Джонс, Стивен Джонс",16+
124020,Везучий случай,2017-01-19,Комедия,,Кино,Цветной,1,92.0,Другой,"ООО Кинокомпания ""Лунапарк""",Россия,2017,Р.Шульман,"В.Серебренников, С.Онипенко, С.Воробьев","А.Казаков, А.Першин",М.Дементьев,В.Некрасов,"Д.Нелидов, И.Бурец, Э.Илоян, Д.Жалинский, А.Троцюк, В.Шляппо, А.Кушаев",12+
124035,МУЛЬТ в кино. Выпуск № 51,2017-03-31,Мультсборник,Анимационный,Кино,Цветной,0,47.0,Другой,"ООО ""Мульт в кино""",Россия,2017,О.Семёнова,,Гизатуллин В.Р.,,"С.Боголюбский, Д.Ставрович",П.Смирнов,0+
124104,Подводная эра,2017-05-17,Обитатели морских глубин.,Анимационный,Кино,Цветной,1,92.0,Другой,"Дрим Фэктори Групп, Эрасме Интертейнмент",Испания,2017,Хулио Сото Гурпиде,Рауль Арнаиз,"Хулио Сото Гурпиде, Сальвадор Рубио, Хосе Татайя",,Фернандо Веласкес,"Хулио Сото Гурпиде, Адриана Малфатти Чен, Адриан Политовски, Карл Ричардс",6+
124117,Наурыз,2017-03-09,"В ролях: Анатолий Креженчуков, Берик Айтжанов. Весна в Казахстане.",,Кино,Цветной,1,110.0,Другой,Эс Джи,Республика Казахстан,2017,Аскар Бисембин,Куат Тлеубаев,Аскар Бисембин,Святослав Булаковский,Павел Ли,"Олег Головашкин, Алмас Султангазин",12+
124166,"Представь, что ты машинист",2017-05-22,"В ролях - Д.Явневич, Н.Лоленко, Н.Ионова, В.Сапрыкин, М.Горюшкин                          Триллер, драма",,Кино,Цветной,,,Другой,"ООО ""Киностудия ""Три Товарища""",Россия,2017,Т.Эсадзе,С.Лоцманова,"И.Чанов, С.Чернецкий, Т.Эсадзе",Д.Виноградов,"В.Маевский, И.Тарасов","В.Насыр, А.Бобин",16+
124167,Update/Delete (Апдейт/Делит),2017-05-22,"В ролях - И.Ильин, А.Мухамадияров, В.Сергин, И.Слабженников и др. Трагикомедия",,Кино,Цветной,,,Другой,Ильин Алексей Александрович,Россия,2017,А.Ильин,,П.Бомбин,Г.Калинин,,Э.Сковородина,18+
124180,Космос между нами,2016-12-30,"В ролях: Эйса Баттерфилд, Бритт Робертсон, Гари Олдман. История любви. ",,Кино,Цветной,2,120.0,Другой,"Лос Анджелес Медиа Фанд, Эс Ти Икс Интертейнмент, Сауфпо Интертейнмент",США,2017,Питер Челсом,Кирк М.Петруччелли,"Аллан Лоб, Ричард Бартон Льюис, Стюарт Шилл",Бэрри Петерсон,Эндрю Локингтон,"Джон Албанис, Ричард Бартон Льюис, Робби Бреннер",16+
124185,Лес.,2017-01-20,Драма,,Кино,Цветной,1,97.0,Другой,"Жигалов Роман Валерьевич, ООО ""Искусство продвижения кино""",Россия,2017,Р.Жигалов,В.Трофимов,Р.Жигалов,Ю.Сергеев,"А.Леонов, О.Гайдамак",Р.Жигалов,18+
124187,"Ой, мамочки (2017)",2017-04-11,"В ролях: Жюльетт Бинош, Ламбер Вильсон. Комедия.",,Кино,Цветной,1,94.0,Другой,Пан Еуропенне Продюксьон,Франция,2017,Ноэми Саглио,Вирджиния Монтель,"Агате Пасторино, Ноэми Саглио",Пьер Аим,,Ноэми Саглио,18+
124189,Наваждение (2017),2017-04-11,"В ролях: Розарио Доусон, Кэтрин Хейгл. Мечта девушки - кошмар для другой.",,Кино,Цветной,1,100.0,Другой,"Уорнер Бразерс, Ди Нови Пикчерз",США,2017,Дениз Ди Нови,Нельсон Коатс,Кристина Ходсон,Калеб Дешанель,Тоби Чу,"Элисон Гринспен, Дениз Ди Нови, Рави Мехта",18+
124210,МУЛЬТ в кино. Выпуск №47,2017-02-17,Анимационный детский сборник,Анимационный,Кино,Цветной,0,48.0,Другой,"ООО ""Мульт в кино""",Россия,2017,Семёнова О.А.,,Гизатуллин В.Р.,,"С.Боголюбский, Л.Ставрович",П.Смирнов,0+
124214,БайБайМэн,2017-02-27,"В ролях: Дуглас Смит, Даг Джонс.  Мистические тайны.",,Кино,Цветной,1,96.0,Другой,"Интрепид Пикчерз, Лос Анджелес Медиа Фонд",США,2017,Стэйси Тайтл,Дженнифер Спенс,"Джонатан Пеннер, Роберт Дэймон Шнек",Джеймс Книст,,"Орен Авив, Адам Фогелсон, Марк Д.Эванс",16+
124215,Вечно молодой/ Все будет рок-н-ролл,2017-06-13,"Комедия о стареющем актере. В ролях: Гийом Кане, Марион Котийяр, Жиль Леллуш, Бен Фостер, Иван Атталь",,Кино,Черно-белый,1,90.0,Другой,"Ле Продюксьон дю Трезор, Пате, Канео Фильм, М6 Фильм, Аппалуза Синема, Канал+, Сине+",Франция,2017,Гийом Кане,Филипп Шиффр,"Гийом Кане, Родольф Лога, Филипп Лефевр",Кристоф Оффенштейн,Максим Нуччи,Ален Атталь,18+
124222,2:22 (2017),2017-06-09,"В ролях: Майкл Хаушман, Тереза Палмер. Триллер.",,Кино,Цветной,1,98.0,Другой,"Лайтстрим Интертейнмент, Пэндемониум, Скрин Острелия, Вок Зе Вок Интертейнмент",США - Австралия,2017,Пол Карри,Мишель МакГэхи,"Нэйтан Паркер, Тодд Стейн",Дэвид Эггби,"Лиза Джеррард, Джеймс Орр","Пол Карри, Джоди Маттерсон, Стивен Хутенски",16+
124224,SuperАлиби,2017-02-27,"В ролях: Филипп Лашо, Элоди Фонтан. Тайная жизнь молодых.",,Кино,Цветной,1,90.0,Другой,"Фешнер Фильм, ТФ1 Друат Аудиовизуаль э Фильм Продюксьон, Студио Канал, Эс Эн 5 Продюксьон, Палатен Этуаль 14, Канал +, Сине +, ",Франция,2017,Филипп Лашо,Сэмюэл Тессер,"Жюльен Аррути, Пьер Дудан, Филипп Лашо",Доминик Колен,"Максим Депре, Мишель Торджман","Франк Милсент, Александра Фешнер",18+
124225,Могучие рейнджеры,2017-02-27,"В ролях: Дэкр Монтгомери, Луди Лин. Защитим человечество.",,Кино,Цветной,2,124.0,Другой,"Лайонсгейт, Сабан Брэндс, Сабан Интертейнмент, Темпл Хилл Интертейнмент, Уолт Дисней Студиос Моушн Пикчерз",США - Канада,2017,Дэн Израэлит,Эндрю Мензис,Джон Гэтинс,Мэтью Джей Ллойд,Брайан Тайлер,"Марти Боуэн, Уик Годфри, Брайан Касентини, Хаим Сабан",18+
124226,Красавица и Чудовище (2017),2017-03-03,"В ролях: Дэн Стивенс, Эмма Уотсон. Мюзикл.",,Кино,Цветной,2,129.0,Другой,"Мандевилл Филмз, Уолт Дисней Пикчерз ",США,2017,Билл Кондон,Сара Гринвуд,"Эван Спилитопулос, Стивен Чбоски",Тобиас А.Шлисслер,Алан Менкен,"Тодд Либерман, Дэвид Хоберман",16+
124256,Мастерская,2017-05-17,"В ролях - К.Дасарская, А.Роскошная, Ю.Гревцова, О.Гилярова и др.                   Драма о встрече выпускников актерского курса через пять лет",,Кино,Цветной,1,74.0,Другой,"ОЧУ ДПО ""Академия кинематографического и театрального искусства Н.С.Михалкова""",Россия,2017,В.Алеников,А.Зиновьев,В.Алеников,В.Ложковой,М.Пашеко,"ОЧУ ДПО ""Академия кинематографического и театрального искусства Н.С.Михалкова""",16+
124330,На пятьдесят оттенков темнее,2017-02-01,"Мелодрама. Добро пожаловать в мир роскоши и соблазна... В ролях: Дакота Джонсон, Джейми Дорнан, Ким Бейсингер",,Кино,Цветной,1,118.0,Другой,Юниверсал Пикчерс,США,2017,Джеймс Фоули,"Нельсон Коутс, Питер Боднарус, Крэйг Хеммфрис","Ниал Леонард, Э.Л.Джеймс",Джон Шварцман,Дэнни Элфман,"Дэна Брунетти, Майкл Де Лука, Э.Л.Джеймс",18+
124335,Пираты Карибского моря: Мертвецы не рассказывают сказки,2017-05-17,"В ролях: Джонни Депп, Хавьер Бардем. Продолжение приключений капитана Джека Воробья.",,Кино,Цветной,2,128.0,Другой,"Джерри Брукхаймер Филмз, Уолт Дисней Пикчерз, Инфинитум Нихил",США,2017,"Йоаким Реннинг, Эспен Сандберг",Найджел Фелпс,Джефф Натансон,Пол Камерон,Джефф Занелли,Джерри Брукхаймер,16+
