,Название фильма,Дата начала показа фильма,Аннотация,Вид Фильма,Категория,Цвет,"Продолжительность демонстрации, часы","Продолжительность демонстрации, минуты",Формат носителя,Студия-производитель,Страна производства,Год производства,Режиссер,Художник,Сценарист,Оператор,Композитор,Продюсер,Возрастная категория
345377,Пик коммунизма,2018-09-24,Комедия,Художественный,Кино,Цветной,0.0,18.0,HDD,"ООО ""ЛИХО!""",Россия,2018,Г.Болдугеров,А.Зинченко,Г.Болдугеров,П.Белявский,Г.Химорода,"А.Лихницкий, А.Бельская",16+
345378,Небо над Нейтрино,2018-08-31,Научно-популярный фильм,Научно-популярный,Кино,Цветной,0.0,35.0,HDD,"ИТАР-ТАСС, ТАСС",Россия,2017,А.Шустикова,,А.Шустикова,В.Кулешов,,"А.Тмур, Е.Быковский",12+
345380,Мулла,2018-09-05,Драма,Художественный,Кино,Цветной,2.0,121.0,HDD,ИП Ахметшина Фарида Шамильевна,Россия,2018,"Р.Фазлиев, А.Галиаскаров",Л.Гильмутдинов,"И.Зайниев, М.Ахметшин",Ю.Данилов,М.Ахметшин,"М.Айтуганова, М.Ахметшин",16+
345381,Похищенные сокровища Европы,2018-09-06,Шедевры изобразительного искусства. ,Прочее,Кино,Цветной,1.0,96.0,HDD,"3D Продуциони, Нексо Диджитал","Италия, Франция, Германия",2018,Клаудио Поли,Микелле Малли,"Диди Ньокки, Сабина Федели, Арианна Марелли","Матеуш Столеки, Марко Альфьери",Ремо Анцовино,Вероника Ботанелли,16+
345382,Кассетка,2018-09-05,Драма,Художественный,Кино,Цветной,0.0,10.0,DVD,Румянцева Анна Андреевна,Россия,2018,А.Южаков,К.Малушина,А.Южаков,М.Миллер,К.Бородулев,"А.Румянцева, А.Зубов, М.Посадских",12+
345383,3 дня с Роми Шнайдер,2018-09-27,История жизни известной актрисы.,Художественный,Кино,Черно-белый,1.0,115.0,HDD,"Рохфилм Фэктори, Дор Филм Продуционгессельшафт, Софи Дулак Продюксьон, Департюрес Филм, Тита Продюксьон, Бета Синема",Германия - Австрия - Франция,2018,Эмили Атеф,Зильке Фишер,Эмили Атеф,Томас В.Киенаст,Кристоф Кайзер,"Софи Дулак, Карстен Штетер",16+
345384,Великий уравнитель 2,2018-09-06,Криминальный боевик,Художественный,Кино,Цветной,2.0,121.0,HDD,"Коламбиа Пикчерз, Искейп Артистс, Фукуа Филмз, Лонтри Интертейнмент, Мейс Ньюфилд Продакшнз, Сони Пикчерз Интертейнмент",США,2018,Антуан Фукуа,Наоми Шоан,"Ричард Венк, Ричард Линдхейм, Майкл Слоун",Оливер Вуд,Гарри Грегсон-Уильямс,"Тодд Блэк, Джейсон Блюменталь, Дензел Вашингтон, Мейс Ньюфилд, Алекс Сискин, Майкл Слоун, Стив Тиш, Антуан Фукуа, Тони Элдридж",18+
345385,Патрик,2018-09-06,Личная жизнь молодой девушки.,Художественный,Кино,Цветной,1.0,94.0,HDD,"Бондлт, Фред Филмз, Неад Гиа Филмз, Метрол Техноледжи, Вэггинг Тэл Продакшнз",Великобритания,2018,Мэнди Флетчер,"Дженни Беван, Гарри Бэнкс","Пол де Воз, Ванесса Дэвис, Мэнди Флетчер",Крис Гуджер,Майкл Прайс,"Пол де Воз, Ванесса Дэвис, Сью Латимер",12+
345386,"Улан-Удэ, я люблю тебя",2018-09-06,"Комедия, драма",Художественный,Кино,Цветной,1.0,104.0,DVD,Бурлов Артем Викторович,Россия,2018,"А.Цыренжапов, Б.Цыренов, Б.Доржиев, Б.Цыбиков, В.Овчинников",,"А.Мангатханов, Б.Цыбиков, Б.Доржиев, М.Мирошниченко","Ч.Будаев, С.Намжилон, И.Алексеев и др.","Ц.Жигмитов, В.Очиров, В.Климов, А.Роговой","А.Бурлов, Б.Цыденешеев, А.Мяханова, Э.Тимурова, А.Цыренов, Д.Ользонов",12+
345387,ХРУСТАЛЬ,2018-09-07,Драма,Художественный,Кино,Цветной,0.0,15.0,DVD,Денисова Анастасия Владимировна,Россия,2018,А.Денисова,Н.Каспарова,О.Савельева,С.Красавцев,В.Затула,А.Тагирова,12+
345390,Бальные танцы,2018-09-08,Мир спортивных бальных танцев.,Научно-популярный,Кино,Цветной,1.0,68.0,DVD,"ООО ""Танцевальная студия ""Танго""",Россия,2018,А.Зайцев,,"А.Зайцев, Т.Зайц","Д.Багин, А.Зайцев, А.Пестерев, Д.Попель, А.Смирнов, А.Трунковский, А.Хачатурян",,Т.Зайц,16+
